t,z,V,Mach,alpha,q_total,T_surface,T_bulk,thickness,TPS_failed
2.65,119834,7800.34,26.4357,0.00961976,820675,313.598,300,0.0794579,0
2.66,119834,7800.34,26.4357,0.00963187,820717,313.65,300,0.0794559,0
2.67,119833,7800.34,26.4357,0.00964398,820760,313.702,300,0.0794538,0
2.68,119832,7800.34,26.4357,0.00965609,820803,313.753,300,0.0794518,0
2.69,119831,7800.34,26.4357,0.00966821,820846,313.805,300,0.0794497,0
2.7,119831,7800.34,26.4357,0.00968032,820889,313.856,300,0.0794477,0
2.71,119830,7800.34,26.4357,0.00969243,820932,313.908,300,0.0794456,0
2.72,119829,7800.34,26.4358,0.00970454,820975,313.96,300,0.0794436,0
2.73,119828,7800.35,26.4358,0.00971665,821018,314.011,300,0.0794415,0
2.74,119828,7800.35,26.4358,0.00972876,821061,314.063,300,0.0794394,0
2.75,119827,7800.35,26.4358,0.00974088,821105,314.115,300,0.0794374,0
2.76,119826,7800.35,26.4358,0.00975299,821148,314.166,300,0.0794353,0
2.77,119825,7800.35,26.4358,0.0097651,821191,314.218,300,0.0794333,0
2.78,119824,7800.35,26.4358,0.00977721,821235,314.27,300,0.0794312,0
2.79,119824,7800.35,26.4358,0.00978932,821278,314.321,300,0.0794292,0
2.8,119823,7800.35,26.4358,0.00980143,821322,314.373,300,0.0794271,0
2.81,119822,7800.35,26.4358,0.00981355,821365,314.425,300,0.0794251,0
2.82,119821,7800.35,26.4358,0.00982566,821409,314.476,300,0.079423,0
2.83,119821,7800.35,26.4358,0.00983777,821453,314.528,300,0.079421,0
2.84,119820,7800.35,26.4358,0.00984988,821496,314.58,300,0.0794189,0
2.85,119819,7800.36,26.4358,0.00986199,821540,314.631,300,0.0794169,0
2.86,119818,7800.36,26.4358,0.0098741,821584,314.683,300,0.0794148,0
2.87,119818,7800.36,26.4358,0.00988622,821628,314.735,300,0.0794128,0
2.88,119817,7800.36,26.4358,0.00989833,821672,314.786,300,0.0794107,0
2.89,119816,7800.36,26.4358,0.00991044,821716,314.838,300,0.0794087,0
2.9,119815,7800.36,26.4358,0.00992255,821760,314.89,300,0.0794066,0
2.91,119814,7800.36,26.4358,0.00993466,821804,314.942,300,0.0794046,0
2.92,119814,7800.36,26.4358,0.00994677,821848,314.993,300,0.0794025,0
2.93,119813,7800.36,26.4358,0.00995889,821892,315.045,300,0.0794005,0
2.94,119812,7800.36,26.4358,0.009971,821937,315.097,300,0.0793984,0
2.95,119811,7800.36,26.4358,0.00998311,821981,315.148,300,0.0793963,0
2.96,119811,7800.36,26.4358,0.00999522,822025,315.2,300,0.0793943,0
2.97,119810,7800.37,26.4358,0.0100073,822070,315.252,300,0.0793922,0
2.98,119809,7800.37,26.4358,0.0100194,822114,315.304,300,0.0793902,0
2.99,119808,7800.37,26.4358,0.0100316,822159,315.355,300,0.0793881,0
3,119807,7800.37,26.4358,0.0100437,822203,315.407,300,0.0793861,0
3.01,119807,7800.37,26.4358,0.0100558,822248,315.459,300,0.079384,0
3.02,119806,7800.37,26.4358,0.0100679,822293,315.511,300,0.079382,0
3.03,119805,7800.37,26.4358,0.01008,822338,315.562,300,0.0793799,0
3.04,119804,7800.37,26.4358,0.0100921,822382,315.614,300,0.0793779,0
3.05,119804,7800.37,26.4358,0.0101042,822427,315.666,300,0.0793758,0
3.06,119803,7800.37,26.4358,0.0101163,822472,315.718,300,0.0793737,0
3.07,119802,7800.37,26.4359,0.0101285,822517,315.769,300,0.0793717,0
3.08,119801,7800.38,26.4359,0.0101406,822562,315.821,300,0.0793696,0
3.09,119800,7800.38,26.4359,0.0101527,822607,315.873,300,0.0793676,0
